code,name
GGCB,Lithic Ustic Haplocambids
GGCC,Lithic Haplocambids
GGCD,Xerertic Haplocambids
GGCE,Ustertic Haplocambids
GGCF,Vertic Haplocambids
GGCG,Durinodic Xeric Haplocambids
GGCH,Durinodic Haplocambids
GGCI,Petronodic Xeric Haplocambids
GGCJ,Petronodic Ustic Haplocambids
GGCK,Petronodic Haplocambids
GGCL,Sodic Xeric Haplocambids
GGCM,Sodic Ustic Haplocambids
GGCN,Sodic Haplocambids
GGCO,Vitrixerandic Haplocambids
GGCP,Vitrandic Haplocambids
GGCQ,Xerofluventic Haplocambids
GGCR,Ustifluventic Haplocambids
GGCS,Fluventic Haplocambids
GGCT,Anthropic Haplocambids
GGCU,Xeric Haplocambids
GGCV,Ustic Haplocambids
GGCW,Typic Haplocambids
